,trial_id,discovery_date,title,summary,link,published_date,source,relevant,Sources__source_id,Sources__name,Sources__link
0,494609,2023-03-31 14:01:24.868533,Ukulele Playing to Improve Cognition in People With Multiple Sclerosis: A Feasibility Study,"<b>Conditions</b>:    Multiple Sclerosis;   Pathologic Processes;   Demyelinating Autoimmune Diseases, CNS;   Autoimmune Diseases of the Nervous System;   Nervous System Diseases;   Demyelinating Diseases;   Autoimmune Diseases;   Immune System Diseases<br /><b>Interventions</b>:    Behavioral: Music Training Intervention;   Behavioral: Music Listening<br /><b>Sponsor</b>:    University of Texas at Austin<br /><b>Recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05792176?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-31 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
1,492838,2023-03-29 13:11:45.784861,Evaluation of a Self-management Program to Prevent Falls in People With Multiple Sclerosis,<b>Condition</b>:    Multiple Sclerosis<br /><b>Interventions</b>:    Behavioral: Fall prevention program;   Other: Brochure<br /><b>Sponsor</b>:    Karolinska Institutet<br /><b>Not yet recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05789225?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-29 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
2,491899,2023-03-28 13:41:41.571487,Walking and Thinking - Brain Activity During Complex Walking in People With Multiple Sclerosis,"<b>Conditions</b>:    Multiple Sclerosis;   Gait Disorders, Neurologic;   Neuro-Degenerative Disease;   Aging<br /><b>Intervention</b>:    Other: No intervention<br /><b>Sponsors</b>:    Karolinska Institutet;   Karolinska University Hospital<br /><b>Recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05787704?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-28 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
3,491897,2023-03-28 13:41:41.566227,Identifying and Characterizing Preclinical MS,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Other: biological samples<br /><b>Sponsors</b>:    Yale University;   Roche-Genentech<br /><b>Recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05787795?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-28 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
4,491860,2023-03-28 12:20:47.153646,"A Randomized, Double-Blind, Placebo-Controlled Phase II Study of M2951 with a Parallel, Open-Label, Active Control Group (Tecfidera), in Patients with Relapsing Multiple Sclerosis to Evaluate Effic...","<p>EudraCT Number: 2016-001448-21<br />Sponsor Protocol Number: MS200527-0086<br />Sponsor Name: Merck KGaA<br />Start Date: 2017-02-16<br />Medical condition: Relapsing Multiple Sclerosis<br />Disease: <br />Version: 20.1<br />SOC Term: 10029205 - Nervous system disorders<br />Classification Code: 10028245<br />Term: Multiple sclerosis<br />Level: PT<br />Version: 20.0<br />SOC Term: 10029205 - Nervous system disorders<br />Classification Code: 10048393<br />Term: Multiple sclerosis relapse<br />Level: PT<br /><br />Population Age: Adults, Elderly<br />Gender: Male, Female<br />Trial Protocol: <a href=""https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-001448-21/SK"">SK</a> (Ongoing), <a href=""https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-001448-21/ES"">ES</a> (Ongoing), <a href=""https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-001448-21/CZ"">CZ</a> (Ongoing), <a href=""https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-001448-21/PL"">PL</a> (Ongoing), <a href=""https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-001448-21/BG"">BG</a> (Ongoing)</p>",https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number%3A2016-001448-21,,15.0,,15.0,European Clinical Trials Register,https://www.clinicaltrialsregister.eu/ctr-search/rest/feed/bydates?query=multiple+AND+sclerosis
5,489907,2023-03-24 13:01:11.193711,Role of Muscle Vibration in Improving Fatigue in Patients With MS,"<b>Condition</b>:    Purpose of This Study is to Verify the Use of Vibrations on Fatigue in Patients With MS<br /><b>Intervention</b>:    Device: vibra<br /><b>Sponsor</b>:    IRCCS Centro Neurolesi ""Bonino-Pulejo""<br /><b>Recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05783999?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-24 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
6,489900,2023-03-24 13:01:11.157720,Demyelination and Remyelination in Multiple Sclerosis (MS) Detected by Brain Amyloid PET-CT,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Diagnostic Test: 18F-florbetaben PET/CT<br /><b>Sponsor</b>:    Istituti Clinici Scientifici Maugeri SpA<br /><b>Recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05783934?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-24 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
7,489370,2023-03-23 13:20:53.918133,A Novel Wearable Digital Biomarker for Detecting Changes in Multiple Sclerosis (MS) Condition,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    <br /><b>Sponsors</b>:    Celestra Health Systems;   University of Ottawa;   The Ottawa Hospital<br /><b>Not yet recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05781113?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-23 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
8,488775,2023-03-22 13:20:41.409635,Targeting the Gut Dysbiosis to Treat Inflammation-driven Synaptopathy in MS,<b>Condition</b>:    Patient Participation<br /><b>Interventions</b>:    Dietary Supplement: Prebiotics and Probiotics supplementation;   Dietary Supplement: Placebo supplementation;   Procedure: peripheral blood withdrawal;   Procedure: Transcranial Magnetic Stimulation (TMS)<br /><b>Sponsors</b>:    Neuromed IRCCS;   I.R.C.C.S. Fondazione Santa Lucia<br /><b>Not yet recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05779449?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-22 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
9,488070,2023-03-21 13:00:54.730090,Mechanical Determinants of Upper Limbs Oscillation During Gait,<b>Conditions</b>:    Multiple Sclerosis;   Poststroke/CVA Hemiparesis;   Parkinson Disease;   Cerebral Palsy;   Amputation<br /><b>Interventions</b>:    Other: Healthy subjects;   Other: Pathologic group<br /><b>Sponsor</b>:    Istituto Auxologico Italiano<br /><b>Recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05778474?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-03-21 12:00:00.000000,12.0,,12.0,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
